! 11B range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
47.000000	4840.27   	47.000000	4752.15   	47.000000	4835.94   	47.000000	4832.03   	47.000000	4835.78   	47.000000	36.5715   	47.000000	18.9745   	47.000000	55.9018   	47.000000	51.3398   	47.000000	54.6925   	
50.000000	5401.6    	50.000000	5306.66   	50.000000	5401.16   	50.000000	5397.63   	50.000000	5401.02   	50.000000	40.8698   	50.000000	21.0608   	50.000000	62.3293   	50.000000	56.9796   	50.000000	61.0399   	
55.000000	6395.86   	55.000000	6290.17   	55.000000	6402.67   	55.000000	6400.11   	55.000000	6402.57   	55.000000	48.4709   	55.000000	24.7251   	55.000000	73.7017   	55.000000	66.9115   	55.000000	72.2893   	
60.000000	7461.77   	60.000000	7346.13   	60.000000	7476.97   	60.000000	7475.65   	60.000000	7476.81   	60.000000	56.6028   	60.000000	28.6174   	60.000000	85.8768   	60.000000	77.4894   	60.000000	84.3579   	
65.000000	8597.47   	65.000000	8472.68   	65.000000	8622.03   	65.000000	8622.41   	65.000000	8621.88   	65.000000	65.2483   	65.000000	32.7274   	65.000000	98.8307   	65.000000	88.6932   	65.000000	97.2253   	
70.000000	9801.23   	70.000000	9668.07   	70.000000	9836.24   	70.000000	9838.65   	70.000000	9836.07   	70.000000	74.3905   	70.000000	37.0505   	70.000000	112.541   	70.000000	100.504   	70.000000	110.872   	
75.000000	11071.4   	75.000000	10930.6   	75.000000	11117.9   	75.000000	11122.7   	75.000000	11117.7   	75.000000	84.0133   	75.000000	41.5787   	75.000000	126.986   	75.000000	112.904   	75.000000	125.28    	
80.000000	12406.6   	80.000000	12258.8   	80.000000	12465.4   	80.000000	12473.1   	80.000000	12465.4   	80.000000	94.1012   	80.000000	46.308    	80.000000	142.145   	80.000000	125.878   	80.000000	140.432   	
85.000000	13805.2   	85.000000	13651     	85.000000	13877.5   	85.000000	13888.4   	85.000000	13877.5   	85.000000	104.639   	85.000000	51.2285   	85.000000	158       	85.000000	139.409   	85.000000	156.312   	
90.000000	15266.1   	90.000000	15105.8   	90.000000	15352.6   	90.000000	15367     	90.000000	15352.6   	90.000000	115.613   	90.000000	56.3392   	90.000000	174.531   	90.000000	153.484   	90.000000	172.904   	
95.000000	16787.8   	95.000000	16621.9   	95.000000	16889.5   	95.000000	16907.8   	95.000000	16889.5   	95.000000	127.008   	95.000000	61.6344   	95.000000	191.722   	95.000000	168.089   	95.000000	190.193   	
100.000000	18369.3   	100.000000	18198     	100.000000	18486.8   	100.000000	18509.3   	100.000000	18486.9   	100.000000	138.812   	100.000000	67.1066   	100.000000	209.554   	100.000000	183.21    	100.000000	208.165   	
105.000000	20009.3   	105.000000	19832.7   	105.000000	20143.3   	105.000000	20170.5   	105.000000	20143.5   	105.000000	151.012   	105.000000	72.7488   	105.000000	228.013   	105.000000	198.835   	105.000000	226.805   	
110.000000	21706.9   	110.000000	21524.8   	110.000000	21857.9   	110.000000	21890     	110.000000	21858.2   	110.000000	163.594   	110.000000	78.5554   	110.000000	247.08    	110.000000	214.952   	110.000000	246.1     	
115.000000	23460.9   	115.000000	23273.3   	115.000000	23629.3   	115.000000	23666.7   	115.000000	23629.7   	115.000000	176.548   	115.000000	84.5272   	115.000000	266.743   	115.000000	231.55    	115.000000	266.038   	
120.000000	25270.4   	120.000000	25076.8   	120.000000	25456.6   	120.000000	25499.5   	120.000000	25457.1   	120.000000	189.862   	120.000000	90.6588   	120.000000	286.985   	120.000000	248.617   	120.000000	286.605   	
125.000000	27134.3   	125.000000	26934.4   	125.000000	27338.7   	125.000000	27387.4   	125.000000	27339.1   	125.000000	203.524   	125.000000	96.942    	125.000000	307.793   	125.000000	266.144   	125.000000	307.79    	
130.000000	29051.9   	130.000000	28845     	130.000000	29274.6   	130.000000	29329.3   	130.000000	29274.9   	130.000000	217.524   	130.000000	103.377   	130.000000	329.152   	130.000000	284.119   	130.000000	329.58    	
135.000000	31022.2   	135.000000	30807.5   	135.000000	31263.1   	135.000000	31324.3   	135.000000	31263.3   	135.000000	231.851   	135.000000	109.96    	135.000000	351.049   	135.000000	302.533   	135.000000	351.965   	
140.000000	33044.4   	140.000000	32821     	140.000000	33303.3   	140.000000	33371.2   	140.000000	33303.5   	140.000000	246.495   	140.000000	116.683   	140.000000	373.472   	140.000000	321.377   	140.000000	374.932   	
